iter	RMSE
0	45.91543201
1	45.20099419
2	44.49731966
3	43.85632027
4	43.19846685
5	42.59895298
6	42.03643261
7	41.47019634
8	40.92256519
9	40.39221832
10	39.91156034
11	39.43288824
12	38.97943254
13	38.54898955
14	38.12378833
15	37.69340033
16	37.27947409
17	36.90787251
18	36.54398026
19	36.1918276
20	35.86209651
21	35.54043081
22	35.24641571
23	34.95377899
24	34.64843768
25	34.37959362
26	34.13533221
27	33.87751895
28	33.63217903
29	33.40184021
30	33.17672868
31	32.96061425
32	32.74901066
33	32.55235803
34	32.36271428
35	32.16514031
36	31.97188702
37	31.79051006
38	31.63193335
39	31.45787484
40	31.28681746
41	31.13281536
42	30.98760439
43	30.84582732
44	30.71656422
45	30.56138179
46	30.43529272
47	30.30937662
48	30.19955594
49	30.0819575
50	29.96605213
51	29.86773098
52	29.76394375
53	29.66562968
54	29.57329261
55	29.46735297
56	29.3738236
57	29.28258593
58	29.19455538
59	29.10987846
60	29.03561103
61	28.96512937
62	28.87509135
63	28.81506206
64	28.73610512
65	28.66944326
66	28.59658454
67	28.52943701
68	28.47379738
69	28.40391806
70	28.33893633
71	28.27724963
72	28.21647837
73	28.15688747
74	28.09871356
75	28.04173495
76	27.9873085
77	27.93793498
78	27.88873642
79	27.83490698
80	27.78927057
81	27.74084142
82	27.68824792
83	27.64441084
84	27.60058748
85	27.55793042
86	27.52266183
87	27.48657711
88	27.44347804
89	27.40706
90	27.3697652
91	27.32402742
92	27.27594442
93	27.24025
94	27.20134346
95	27.16588356
96	27.12745697
97	27.08677407
98	27.05737512
99	27.00097749
100	26.96596725
101	26.93713671
102	26.89510995
103	26.85782981
104	26.82401943
105	26.79632901
106	26.7649999
107	26.74108317
108	26.71306411
109	26.6893078
110	26.66452936
111	26.62886723
112	26.60729563
113	26.58043528
114	26.55423857
115	26.52576499
116	26.50119175
117	26.47858724
118	26.44729986
119	26.42255728
120	26.39131814
121	26.36001067
122	26.33513443
123	26.31299447
124	26.29321559
125	26.27271283
126	26.24982421
127	26.22898512
128	26.20855151
129	26.18844389
130	26.16483011
131	26.14241135
132	26.1125366
133	26.08812719
134	26.06128309
135	26.03809328
136	26.01420286
137	25.99051153
138	25.96110183
139	25.94453111
140	25.92221102
141	25.89891295
142	25.86895919
143	25.85203059
144	25.8328494
145	25.81026415
146	25.78815484
147	25.76890257
148	25.74964413
149	25.72718618
150	25.70914875
151	25.6900061
152	25.67294942
153	25.65633787
154	25.63264864
155	25.60690096
156	25.59208406
157	25.57175238
158	25.55178199
159	25.52166088
160	25.50604428
161	25.48404198
162	25.46745833
163	25.44823316
164	25.43205652
165	25.40769178
166	25.38736297
167	25.36829757
168	25.34884313
169	25.32940862
170	25.31510885
171	25.29920116
172	25.27406435
173	25.25167283
174	25.23051196
175	25.21151526
176	25.19748657
177	25.17455616
178	25.16013549
179	25.14553147
180	25.12913253
181	25.10970212
182	25.09454811
183	25.07260137
184	25.05733087
185	25.04364548
186	25.0345819
187	25.02428806
188	25.00296965
189	24.98840639
190	24.9712999
191	24.95471359
192	24.93622341
193	24.9224919
194	24.9054686
195	24.89267724
196	24.87326192
197	24.85886057
198	24.8389583
199	24.82736113
200	24.81923825
201	24.80635027
202	24.79623216
203	24.77327845
204	24.75206376
205	24.73868522
206	24.72179661
207	24.70893854
208	24.69565527
209	24.68397915
210	24.66918065
211	24.65263923
212	24.63283442
213	24.61537137
214	24.59215667
215	24.57578194
216	24.55567313
217	24.54270496
218	24.52251095
219	24.50666358
220	24.49178186
221	24.4795752
222	24.46778931
223	24.45599347
224	24.43691196
225	24.42139565
226	24.40770668
227	24.40110479
228	24.38511467
229	24.36506281
230	24.34827692
231	24.33252244
232	24.32228007
233	24.30604641
234	24.28834428
235	24.27107395
236	24.25559971
237	24.24895687
238	24.23337977
239	24.22007107
240	24.20917923
241	24.19426109
242	24.18240534
243	24.16750305
244	24.15841026
245	24.14584647
246	24.12755779
247	24.11960844
248	24.10391074
249	24.09121706
250	24.08084676
251	24.06835938
252	24.05496509
253	24.04169807
254	24.0303905
255	24.01495353
256	23.99963829
257	23.98632137
258	23.9760673
259	23.97006575
260	23.95363533
261	23.92987734
262	23.9199755
263	23.90867468
264	23.87576706
265	23.86642812
266	23.85596393
267	23.84176337
268	23.82749206
269	23.81242236
270	23.79268166
271	23.78471176
272	23.76821376
273	23.75771297
274	23.74424431
275	23.73619815
276	23.73121912
277	23.72287752
278	23.71404873
279	23.70210187
280	23.68630135
281	23.67486186
282	23.64505448
283	23.6376686
284	23.62076979
285	23.61255607
286	23.60562687
287	23.59770983
288	23.58547285
289	23.56761882
290	23.55112737
291	23.54002495
292	23.5286029
293	23.51950567
294	23.50361316
295	23.49551341
296	23.4821615
297	23.46826146
298	23.46191487
299	23.45211966
300	23.43758091
301	23.42868469
302	23.41656053
303	23.39094662
304	23.37385152
305	23.36286271
306	23.34628549
307	23.33911182
308	23.32828401
309	23.32040871
310	23.30364787
311	23.28731965
312	23.27803864
313	23.26921966
314	23.26094896
315	23.2437177
316	23.23050661
317	23.21779361
318	23.20611765
319	23.17887599
320	23.1701807
321	23.15468595
322	23.12690826
323	23.10770128
324	23.08958935
325	23.08212975
326	23.07225204
327	23.06355614
328	23.05515086
329	23.03710255
330	23.02766062
331	23.01991215
332	23.00436561
333	22.99002498
