
100 3e-06
200 2e-06
300 3e-06
400 3e-06
500 3e-06
600 3e-06
700 3e-06
800 2e-06
900 2e-06
1000 1e-06
1100 4e-06
1200 4e-06
1300 4e-06
1400 6e-06
1500 4e-06
1600 3e-06
1700 3e-06
1800 7e-06
1900 3e-06
2000 5e-06
2100 5e-06
2200 6e-06
2300 6e-06
2400 7e-06
2500 6e-06
2600 6e-06
2700 6e-06
2800 4e-06
2900 8e-06
3000 1.8e-05
3100 7e-06
3200 6e-06
3300 5e-06
3400 6e-06
3500 1.1e-05
3600 6e-06
3700 8e-06
3800 5e-06
3900 7e-06
4000 8e-06
4100 9e-06
4200 6e-06
4300 6e-06
4400 6e-06
4500 4e-06
4600 1.1e-05
4700 1.2e-05
4800 7e-06
4900 8e-06
5000 6e-06
5100 9e-06
5200 6e-06
5300 1.2e-05
5400 5e-06
5500 1.1e-05
5600 6e-06
5700 1.4e-05
5800 1.5e-05
5900 9e-06
6000 5e-06
6100 9e-06
6200 1.1e-05
6300 9e-06
6400 1.7e-05
6500 8e-06
6600 5e-06
6700 1e-05
6800 7e-06
6900 1.1e-05
7000 1.5e-05
7100 1.3e-05
7200 7e-06
7300 1.4e-05
7400 1.2e-05
7500 7e-06
7600 1.1e-05
7700 8e-06
7800 1.8e-05
7900 2e-05
8000 1.1e-05
8100 1.4e-05
8200 1.5e-05
8300 1.4e-05
8400 1.8e-05
8500 1.4e-05
8600 1.6e-05
8700 2e-05
8800 1e-05
8900 2e-05
9000 2e-05
9100 2.1e-05
9200 1e-05
9300 1.2e-05
9400 2.5e-05
9500 1.3e-05
9600 2.1e-05
9700 1.8e-05
9800 2e-05
9900 1.9e-05
10000 1e-05
10100 1e-05
10200 2.4e-05
10300 1.9e-05
10400 1.5e-05
10500 2.4e-05
10600 2.2e-05
10700 9e-06
10800 7e-06
10900 1.6e-05
11000 1.2e-05
11100 1.3e-05
11200 9e-06
11300 1.4e-05
11400 2.6e-05
11500 1.7e-05
11600 1.5e-05
11700 1.9e-05
11800 1.1e-05
11900 3e-05
12000 1.2e-05
12100 2e-05
12200 1.1e-05
12300 2.4e-05
12400 2.8e-05
12500 2.2e-05
12600 1.9e-05
12700 2.3e-05
12800 2.4e-05
12900 2.5e-05
13000 2.3e-05
13100 1.7e-05
13200 2.3e-05
13300 1.9e-05
13400 1.9e-05
13500 2.4e-05
13600 3e-05
13700 3.2e-05
13800 1.3e-05
13900 9e-06
14000 1.8e-05
14100 1.6e-05
