Guests;Price avg;Ranking position avg;Number of views;Price difference;Hotel name;Location;Distance;Type;Quality;Rating;Special;Review;Description;Bedrooms;Living Rooms;Bathrooms;Kitchens;Surface Area (m2);Total Beds;Individual Beds;Double Beds;Double Large Beds;Double Extralarge Beds;Sofa Beds;Bunk Beds
2;317.0;220.0;2;40.0;Apartamentos Casa de la Lonja;Centro de Granada, Granada;250;apartamento;3;8.8;preferente;532;Apartamento de 2 dormitorios con balcón - C/ San Jerónimo 2;2;1;1;1;71;5;4;0;0;0;1;0
8;510.0;177.0;135;-226.0;Apartamentos Catedral Plaza 3000;Centro de Granada, Granada;350;apartamento;3;8.2;preferente;637;2×;1;0;2;2;0;4;0;2;0;0;2;0
8;259.0;184.0;61;-123.0;Apartamentos Catedral Plaza 3000;Centro de Granada, Granada;350;apartamento;3;8.2;preferente;637;1×;1;1;1;1;40;1;0;1;0;0;0;0
8;267.0;71.0;270;-129.0;Apartamentos Catedral Plaza 3000;Centro de Granada, Granada;350;apartamento;3;8.2;preferente;637;Apartamento de 1 dormitorio;1;1;1;1;45;3;0;1;0;0;2;0
8;934.0;191.0;37;27.0;Apartamentos Centro Granada;Barrio de Ronda, Granada;900;apartamento;4;8.4;;113;1×;2;1;1;1;85;4;2;1;0;0;1;0
8;567.0;231.0;142;19.0;Apartamentos Centro Recogidas, Granada;Barrio de Ronda, Granada;800;apartamento;3;8.8;preferente;161;1×;1;1;1;1;25;1;0;1;0;0;0;0
8;527.0;206.0;224;24.0;Apartamentos Centro en Recogidas, Granada;Barrio de Ronda, Granada;800;apartamento;4;9.0;preferente;111;1×;1;1;1;1;36;2;0;1;0;0;1;0
8;380.0;250.0;108;-221.0;Apartamentos Comfort City;Centro de Granada, Granada;100;apartamento;3;5.8;;199;2×;2;0;2;2;0;6;2;0;0;2;2;0
4;208.0;281.0;32;-59.0;Apartamentos Comfort City;Centro de Granada, Granada;100;apartamento;3;5.8;;199;Apartamento de 2 dormitorios;2;1;1;1;90;3;1;0;0;1;1;0
8;628.0;151.0;233;176.0;Apartamentos Correo Viejo de Granada;Albaicín, Granada;300;apartamento;3;8.5;plus;819;1×;1;1;1;1;40;1;0;0;1;0;0;0
8;951.0;110.0;33;160.0;Apartamentos Correo Viejo de Granada;Albaicín, Granada;300;apartamento;3;8.5;plus;819;1×;2;1;1;1;45;2;0;0;2;0;0;0
8;947.0;140.0;82;135.0;Apartamentos Correo Viejo de Granada;Albaicín, Granada;300;apartamento;3;8.5;plus;819;1×;2;1;1;1;48;2;0;1;1;0;0;0
8;690.0;98.0;15;94.0;Apartamentos Correo Viejo de Granada;Albaicín, Granada;300;apartamento;3;8.5;plus;819;Apartamento Deluxe;3;1;1;1;50;3;1;1;1;0;0;0
8;1070.0;89.0;5;289.0;Apartamentos Correo Viejo de Granada;Albaicín, Granada;300;apartamento;3;8.5;plus;826;1×;2;1;1;1;55;3;1;0;2;0;0;0
6;573.0;110.0;93;175.0;Apartamentos Correo Viejo de Granada;Albaicín, Granada;300;apartamento;3;8.5;plus;819;Apartamento Deluxe;3;1;2;1;60;3;0;0;3;0;0;0
6;199.0;281.0;26;-35.0;Apartamentos Cruz Granada;Centro de Granada, Granada;500;apartamento;3;9.1;destacado;154;Apartamento de 1 dormitorio;1;1;1;1;65;1;0;1;0;0;0;0
4;226.0;264.0;25;2.0;Apartamentos Cruz Granada;Centro de Granada, Granada;500;apartamento;3;9.1;;154;Apartamento de 3 dormitorios;3;1;1;1;70;3;1;1;0;0;0;1
6;1270.0;270.0;22;510.0;Apartamentos Elvira 21;Centro de Granada, Granada;200;apartamento;4;8.3;preferente;361;3×;1;0;3;3;0;3;0;3;0;0;0;0
2;290.0;320.0;34;78.0;Apartamentos Elvira 21;Centro de Granada, Granada;200;apartamento;4;8.3;preferente;358;Apartamento de 1 dormitorio;1;1;1;1;40;1;0;1;0;0;0;0
8;347.0;206.0;200;-290.0;Apartamentos Fernando de los Rios;Granada Norte, Granada;3100;apartamento;3;7.7;;564;2×;2;0;2;2;0;6;2;2;0;0;2;0
4;149.0;181.0;91;-67.0;Apartamentos Fernando de los Rios;Granada Norte, Granada;3100;apartamento;3;7.7;;564;Apartamento de 2 dormitorios (4 adultos);2;1;1;1;45;3;1;1;0;0;1;0
6;284.0;234.0;81;30.0;Apartamentos Garam;Centro de Granada, Granada;300;apartamento;3;9.2;;149;Apartamento de 2 dormitorios;2;1;1;1;60;3;2;0;0;0;1;0
4;195.0;326.0;34;-31.0;Apartamentos Gomérez 30;Centro de Granada, Granada;300;apartamento;3;7.0;;6;Apartamento con balcón;1;0;1;1;35;1;0;1;0;0;0;0
8;460.0;167.0;81;-188.0;Apartamentos Granada Deluxe 3000;Centro de Granada, Granada;350;apartamento;3;8.3;preferente;555;2×;2;0;2;2;0;4;0;2;0;0;2;0
8;232.0;148.0;120;-25.0;Apartamentos Granada Deluxe 3000;Centro de Granada, Granada;350;apartamento;3;8.3;preferente;555;Apartamento Estudio;1;0;1;1;43;2;0;1;0;0;1;0
8;701.0;171.0;51;-73.0;Apartamentos Granada Deluxe 3000;Centro de Granada, Granada;350;apartamento;3;8.3;preferente;555;1×;1;1;1;1;45;2;0;1;0;0;1;0
6;318.0;95.0;95;-34.0;Apartamentos Granada Deluxe 3000;Centro de Granada, Granada;350;apartamento;3;8.3;preferente;555;Apartamento de 2 dormitorios;2;1;2;1;55;5;2;1;0;0;2;0
8;566.0;207.0;237;-133.0;Apartamentos Granada Parque de Las Ciencias 3000;Zaidín, Granada;1500;apartamento;3;8.0;preferente;83;2×;0;0;2;2;0;4;0;2;0;0;2;0
4;208.0;248.0;105;-0.0;Apartamentos Granada Parque de Las Ciencias 3000;Zaidín, Granada;1500;apartamento;3;8.0;preferente;83;Estudio;0;0;1;1;40;2;0;1;0;0;1;0
8;607.0;256.0;51;-44.0;Apartamentos Granata;Albaicín, Granada;350;apartamento;3;8.7;destacado;418;1×;1;1;1;1;30;2;0;1;0;0;1;0
8;603.0;257.0;86;10.0;Apartamentos Granata;Albaicín, Granada;350;apartamento;3;8.7;destacado;418;1×;1;1;1;1;40;2;0;1;0;0;1;0
8;669.0;259.0;7;39.0;Apartamentos Granata;Albaicín, Granada;350;apartamento;3;8.7;destacado;418;1×;1;1;1;1;45;3;2;0;0;0;1;0
4;320.0;280.0;5;50.0;Apartamentos Granata;Albaicín, Granada;350;apartamento;3;8.7;;418;Apartamento Deluxe;2;1;1;1;55;4;1;1;1;0;1;0
8;471.0;344.0;5;3.0;Apartamentos Hemar Granada;Centro de Granada, Granada;700;apartamento;4;9.4;;474;1×;1;1;1;1;70;3;3;0;0;0;0;0
8;719.0;174.0;113;68.0;Apartamentos Ilíberis;Centro de Granada, Granada;50;apartamento;3;8.8;preferente;401;2×;2;0;4;2;0;8;4;2;0;0;2;0
6;349.0;124.0;241;62.0;Apartamentos Ilíberis;Centro de Granada, Granada;50;apartamento;3;8.8;preferente;401;Apartamento Deluxe de 2 dormitorios;2;1;2;1;70;4;2;1;0;0;1;0
8;471.0;169.0;228;15.0;Apartamentos Inside Alhacaba;Centro de Granada, Granada;400;apartamento;3;8.7;plus;133;1×;1;0;1;1;45;2;0;1;0;0;1;0
4;292.0;170.0;14;115.0;Apartamentos Inside Alhacaba;Centro de Granada, Granada;400;apartamento;3;8.7;plus;133;Apartamento de 2 dormitorios (4 adultos) Plaza del Realejo 6;2;0;1;1;55;2;0;2;0;0;0;0
8;659.0;173.0;109;27.0;Apartamentos Inside Casa de la Alberca;Centro de Granada, Granada;450;hotel;3;8.9;plus;144;2×;2;0;2;0;0;12;8;0;0;0;4;0
6;315.0;102.0;216;18.0;Apartamentos Inside Casa de la Alberca;Centro de Granada, Granada;450;hotel;3;8.9;plus;144;Apartamento de 2 dormitorios;2;1;1;0;70;6;4;0;0;0;2;0
8;497.0;153.0;160;-157.0;Apartamentos Inside Paseo de los Tristes;Albaicín, Granada;800;hotel;3;8.5;plus;483;2×;1;0;2;2;0;4;0;2;0;0;2;0
8;373.0;115.0;12;-96.0;Apartamentos Inside Paseo de los Tristes;Albaicín, Granada;800;hotel;3;8.5;plus;483;Apartamento de 1 dormitorio;1;1;1;1;35;4;2;0;0;0;2;0
4;197.0;95.0;98;5.0;Apartamentos Inside Paseo de los Tristes;Albaicín, Granada;800;hotel;3;8.5;plus;483;Apartamento de 1 dormitorio - Planta baja;1;1;1;1;45;2;0;1;0;0;1;0
6;387.0;110.0;122;21.0;Apartamentos Inside Paseo de los Tristes;Albaicín, Granada;800;hotel;3;8.5;plus;483;Apartamento con terraza y vistas a la Alhambra;2;1;1;1;90;5;2;1;0;0;2;0
4;738.0;229.0;6;348.0;Apartamentos J de la Alhambra;Centro de Granada, Granada;800;apartamento;3;9.5;;2;Apartamento de 3 dormitorios;3;1;2;0;78;3;1;2;0;0;0;0
8;1459.0;220.0;239;745.0;Apartamentos J de la Alhambra;Centro de Granada, Granada;800;apartamento;3;9.8;;4;1×;3;1;2;0;83;3;1;2;0;0;0;0
8;851.0;181.0;86;116.0;Apartamentos Jardines de la Sitarilla;Centro de Granada, Granada;600;apartamento;4;9.0;;224;1×;2;1;1;1;47;2;0;2;0;0;0;0
8;415.0;174.0;103;-35.0;Apartamentos Jardines de la Sitarilla;Centro de Granada, Granada;600;apartamento;4;9.0;;224;1×;1;1;1;1;51;3;0;0;0;1;2;0
8;801.0;190.0;24;261.0;Apartamentos Jardines de la Sitarilla;Centro de Granada, Granada;600;apartamento;4;9.0;;224;1×;2;1;1;1;60;2;0;2;0;0;0;0
8;478.0;180.0;16;-45.0;Apartamentos Jardines de la Sitarilla;Centro de Granada, Granada;600;apartamento;4;9.0;;211;1×;2;1;1;1;63;2;0;2;0;0;0;0
6;468.0;84.0;146;78.0;Apartamentos Jardines de la Sitarilla;Centro de Granada, Granada;600;apartamento;4;9.0;;224;Apartamento;2;1;1;1;93;3;0;0;0;2;1;0
6;532.0;320.0;19;83.0;Apartamentos Lara;Zaidín, Granada;1400;apartamento;3;8.2;;120;1×;1;1;1;1;30;2;2;0;0;0;0;0
4;362.0;352.0;2;36.0;Apartamentos Lara;Zaidín, Granada;1400;apartamento;3;8.2;;120;Apartamento Superior;1;1;1;1;50;3;0;0;1;0;2;0
6;345.0;345.0;1;97.0;Apartamentos Laurel Suites;Centro de Granada, Granada;150;apartamento;3;8.5;;182;2×;1;0;2;2;0;2;0;2;0;0;0;0
2;243.0;372.0;7;70.0;Apartamentos Laurel Suites;Centro de Granada, Granada;150;apartamento;3;8.5;;187;Apartamento de 1 dormitorio;1;0;1;1;40;1;0;1;0;0;0;0
8;486.0;145.0;77;-140.0;Apartamentos Los Lobos;Centro de Granada, Granada;500;apartamento;3;8.1;plus;640;2×;2;0;2;2;0;6;4;2;0;0;0;0
8;276.0;179.0;31;11.0;Apartamentos Los Lobos;Centro de Granada, Granada;500;apartamento;3;8.1;plus;640;Estudio - 2 niveles;0;0;1;1;20;1;0;1;0;0;0;0
8;411.0;200.0;55;-6.0;Apartamentos Los Lobos;Centro de Granada, Granada;500;apartamento;3;8.1;plus;640;Apartamento de 1 dormitorio;1;1;1;1;25;1;0;1;0;0;0;0
8;603.0;223.0;50;-51.0;Apartamentos Los Lobos;Centro de Granada, Granada;500;apartamento;3;8.1;plus;640;1×;1;1;1;1;35;1;0;1;0;0;0;0
4;238.0;55.0;57;23.0;Apartamentos Los Lobos;Centro de Granada, Granada;500;apartamento;3;8.1;plus;640;Apartamento de 2 dormitorios con balcón;2;1;1;1;50;3;2;1;0;0;0;0
8;1038.0;110.0;18;-21.0;Apartamentos Luna Suites Granada;Barrio de Ronda, Granada;1300;apartamento;4;9.3;preferente;471;2×;1;0;2;2;0;8;6;0;0;0;2;0
4;216.0;164.0;105;16.0;Apartamentos Luna Suites Granada;Barrio de Ronda, Granada;1300;apartamento;4;9.3;preferente;492;Estudio;0;0;1;1;27;4;3;0;0;0;1;0
8;619.0;102.0;367;27.0;Apartamentos Luna Suites Granada;Barrio de Ronda, Granada;1300;apartamento;4;9.3;preferente;492;Estudio;0;0;1;1;54;8;6;0;0;0;2;0
8;577.0;205.0;178;-101.0;Apartamentos Líbere Granada Catedral;Centro de Granada, Granada;200;apartamento;3;8.4;preferente;713;2×;1;0;2;2;0;4;0;2;0;0;2;0
6;519.0;258.0;102;150.0;Apartamentos Líbere Granada Catedral;Centro de Granada, Granada;200;apartamento;3;8.4;preferente;713;Estudio con balcón;0;0;1;1;25;1;0;1;0;0;0;0
8;329.0;176.0;74;20.0;Apartamentos Líbere Granada Catedral;Centro de Granada, Granada;200;apartamento;3;8.4;preferente;713;Apartamento de 1 dormitorio con balcón;1;1;1;1;30;2;0;1;0;0;1;0
8;2028.0;124.0;3;913.0;Apartamentos Líbere Granada Catedral;Centro de Granada, Granada;200;apartamento;3;8.4;preferente;705;1×;1;1;1;1;40;2;0;1;0;0;1;0
8;695.0;149.0;28;-28.0;Apartamentos Mirador Alhambra;Albaicín, Granada;700;apartamento;3;8.2;preferente;308;1×;1;1;1;1;38;2;0;0;1;0;1;0
8;726.0;221.0;71;40.0;Apartamentos Mirador Alhambra;Albaicín, Granada;700;apartamento;3;8.2;preferente;308;1×;2;1;1;1;42;4;2;1;0;0;1;0
8;693.0;221.0;120;62.0;Apartamentos Mirador Alhambra;Albaicín, Granada;700;apartamento;3;8.2;preferente;306;1×;2;1;1;1;45;4;2;1;0;0;1;0
8;477.0;295.0;57;117.0;Apartamentos Mirador Alhambra;Albaicín, Granada;700;apartamento;3;8.2;preferente;306;Apartamento de 2 dormitorios con literas - Planta baja;2;1;1;1;50;4;0;1;0;0;1;2
4;307.0;290.0;15;86.0;Apartamentos Mirador Alhambra;Albaicín, Granada;700;apartamento;3;8.2;preferente;306;Apartamento Estándar de 2 dormitorios;2;1;1;1;60;4;2;1;0;0;1;0
8;596.0;201.0;159;49.0;Apartamentos Montesclaros;Albaicín, Granada;1100;hotel;2;8.9;preferente;706;2×;1;0;2;2;0;6;4;0;0;0;2;0
8;625.0;158.0;70;25.0;Apartamentos Montesclaros;Albaicín, Granada;1100;hotel;2;8.9;preferente;706;Apartamento de 1 dormitorio;1;0;1;1;35;3;2;0;0;0;1;0
8;602.0;219.0;2;264.0;Apartamentos Montesclaros;Albaicín, Granada;1100;hotel;2;8.9;preferente;704;1×;1;0;1;1;45;3;2;0;0;0;1;0
8;1163.0;238.0;217;489.0;Apartamentos Mª Luisa de Dios, By DaiMar;Beiro, Granada;1300;apartamento;4;9.1;preferente;72;1×;1;1;1;1;70;2;0;1;0;0;1;0
8;739.0;229.0;35;77.0;Apartamentos Nahira Suites 3000;Albaicín, Granada;200;apartamento;3;7.6;preferente;523;2×;2;0;2;2;0;4;0;2;0;0;2;0
8;470.0;210.0;212;-144.0;Apartamentos Nahira Suites 3000;Albaicín, Granada;200;apartamento;3;7.6;preferente;523;1×;1;1;1;1;46;2;0;1;0;0;1;0
4;221.0;187.0;48;-12.0;Apartamentos Nahira Suites 3000;Albaicín, Granada;200;apartamento;3;7.6;preferente;523;Apartamento de 2 dormitorios;2;1;1;1;50;3;1;1;0;0;1;0
8;572.0;221.0;5;96.0;Apartamentos Oscar;Centro de Granada, Granada;200;apartamento;3;8.5;preferente;380;2×;4;0;2;2;0;6;2;2;0;0;2;0
8;351.0;177.0;234;-33.0;Apartamentos Oscar;Centro de Granada, Granada;200;apartamento;3;8.5;preferente;374;Apartamento;2;1;1;1;60;3;1;1;0;0;1;0
8;526.0;163.0;295;75.0;Apartamentos PROGRESO;Centro de Granada, Granada;350;apartamento;4;9.5;;184;1×;2;1;2;1;84;3;0;2;0;0;1;0
8;341.0;257.0;99;130.0;Apartamentos Palacio de los Jerónimos;Centro de Granada, Granada;700;apartamento;4;8.8;;278;Apartamento - Planta baja;1;1;2;1;60;2;0;1;0;0;1;0
8;592.0;246.0;102;14.0;Apartamentos Palacio de los Jerónimos;Centro de Granada, Granada;700;apartamento;4;8.8;;278;1×;1;1;1;1;90;3;2;0;0;0;1;0
8;574.0;179.0;153;-208.0;Apartamentos Plaza San Agustín 3000;Centro de Granada, Granada;400;apartamento;3;10.0;;1;2×;2;0;2;2;0;4;0;2;0;0;2;0
6;302.0;123.0;157;-108.0;Apartamentos Plaza San Agustín 3000;Centro de Granada, Granada;400;apartamento;3;10.0;;1;Apartamento Clásico;1;1;1;1;40;2;0;1;0;0;1;0
6;359.0;147.0;44;-62.0;Apartamentos Plaza San Agustín 3000;Centro de Granada, Granada;400;apartamento;3;10.0;;1;Apartamento de 2 dormitorios;2;1;1;1;50;4;2;0;1;0;1;0
8;549.0;218.0;135;-201.0;Apartamentos Puerta Elvira Suites 3000;Albaicín, Granada;700;apartamento;3;9.1;;739;2×;1;0;2;2;0;4;0;2;0;0;2;0
4;204.0;222.0;46;-22.0;Apartamentos Puerta Elvira Suites 3000;Albaicín, Granada;700;apartamento;3;9.1;;739;Estudio;0;0;1;1;40;2;0;1;0;0;1;0
8;539.0;203.0;48;-209.0;Apartamentos Puerta Elvira Suites 3000;Albaicín, Granada;700;apartamento;3;9.1;;739;Apartamento de 1 dormitorio;1;1;1;1;45;2;0;1;0;0;1;0
6;340.0;119.0;179;-89.0;Apartamentos Puerta Elvira Suites 3000;Albaicín, Granada;700;apartamento;3;9.1;;739;Apartamento de 2 dormitorios;2;1;1;1;50;4;2;1;0;0;1;0
8;634.0;292.0;3;154.0;Apartamentos Real Suites Realejo;Centro de Granada, Granada;600;apartamento;4;9.0;preferente;12;1×;1;1;1;1;27;1;0;1;0;0;0;0
8;456.0;256.0;21;85.0;Apartamentos Real Suites Realejo;Centro de Granada, Granada;600;apartamento;4;9.0;preferente;10;Apartamento Dúplex;1;1;1;1;45;1;0;1;0;0;0;0
6;488.0;328.0;4;110.0;Apartamentos Real Suites Realejo;Centro de Granada, Granada;600;apartamento;4;9.0;preferente;12;1×;1;1;1;1;47;1;0;1;0;0;0;0
8;564.0;244.0;19;135.0;Apartamentos Real Suites Realejo;Centro de Granada, Granada;600;apartamento;4;9.0;preferente;10;Apartamento de 1 dormitorio;1;1;1;1;50;1;0;1;0;0;0;0
8;477.0;227.0;6;-3.0;Apartamentos Real Suites Realejo;Centro de Granada, Granada;600;apartamento;4;9.0;preferente;12;1×;2;1;1;1;65;3;2;0;1;0;0;0
6;724.0;336.0;7;202.0;Apartamentos Realejo - diseño, confort y encanto en el centro histórico de Granada;Centro de Granada, Granada;250;apartamento;4;9.1;;96;1×;1;1;1;1;45;2;0;1;0;0;1;0
8;700.0;173.0;58;-118.0;Apartamentos Realejo Campo del Príncipe 3000;Centro de Granada, Granada;700;apartamento;3;8.9;;225;2×;1;0;2;0;0;4;0;2;0;0;2;0
6;673.0;248.0;9;113.0;Apartamentos Realejo Campo del Príncipe 3000;Centro de Granada, Granada;700;apartamento;3;8.9;;216;Estudio;0;0;1;0;20;2;0;1;0;0;1;0
8;279.0;187.0;52;30.0;Apartamentos Realejo Campo del Príncipe 3000;Centro de Granada, Granada;700;apartamento;3;8.9;;225;Apartamento de 1 dormitorio;1;1;1;0;40;2;0;1;0;0;1;0
6;381.0;62.0;164;-51.0;Apartamentos Realejo Campo del Príncipe 3000;Centro de Granada, Granada;700;apartamento;3;8.9;;225;Apartamento de 2 dormitorios;2;1;2;0;50;4;2;1;0;0;1;0
8;428.0;42.0;154;-267.0;Apartamentos Realejo Campo del Príncipe 3000;Centro de Granada, Granada;700;apartamento;3;8.9;;225;Apartamento de 3 dormitorios;3;1;2;0;60;4;0;3;0;0;1;0
8;550.0;127.0;20;-139.0;Apartamentos Realejo Granada Centro 3000;Centro de Granada, Granada;500;apartamento;3;8.2;preferente;296;2×;1;0;2;2;0;4;0;2;0;0;2;0
8;402.0;260.0;87;31.0;Apartamentos Realejo Granada Centro 3000;Centro de Granada, Granada;500;apartamento;3;8.2;preferente;314;1×;0;0;1;1;20;1;0;1;0;0;0;0
8;475.0;138.0;18;-210.0;Apartamentos Realejo Granada Centro 3000;Centro de Granada, Granada;500;apartamento;3;8.2;preferente;314;1×;1;1;1;1;25;2;1;0;0;0;1;0
8;443.0;118.0;115;-122.0;Apartamentos Realejo Granada Centro 3000;Centro de Granada, Granada;500;apartamento;3;8.2;preferente;314;1×;1;1;1;1;30;2;0;1;0;0;1;0
4;228.0;127.0;9;-4.0;Apartamentos Realejo Granada Centro 3000;Centro de Granada, Granada;500;apartamento;3;8.2;preferente;314;Apartamento de 1 dormitorio;1;1;1;1;50;2;0;1;0;0;1;0
8;319.0;42.0;231;-174.0;Apartamentos Realejo Granada Centro 3000;Centro de Granada, Granada;500;apartamento;3;8.2;preferente;314;Apartamento de 2 dormitorios;2;1;1;1;55;4;0;2;0;0;2;0
4;253.0;176.0;109;59.0;Apartamentos Recogidas 10;Centro de Granada, Granada;450;apartamento;4;8.1;preferente;138;Apartamento de 2 dormitorios;2;1;1;1;70;3;2;1;0;0;0;0
8;917.0;150.0;210;337.0;Apartamentos Reina Isabel;Centro de Granada, Granada;20;apartamento;4;9.2;;22;Apartamento;4;1;2;1;120;9;6;1;0;0;2;0
8;603.0;207.0;75;-48.0;Apartamentos Reyes Católicos;Centro de Granada, Granada;100;apartamento;3;8.9;preferente;386;2×;1;0;2;2;0;6;4;0;0;0;2;0
6;692.0;219.0;25;68.0;Apartamentos Reyes Católicos;Centro de Granada, Granada;100;apartamento;3;8.9;preferente;386;Apartamento Ático;1;0;1;1;30;1;0;1;0;0;0;0
4;196.0;146.0;27;12.0;Apartamentos Reyes Católicos;Centro de Granada, Granada;100;apartamento;3;8.9;preferente;386;Apartamento Estudio;1;1;1;1;45;2;1;1;0;0;0;0
8;258.0;170.0;20;10.0;Apartamentos Reyes Católicos;Centro de Granada, Granada;100;apartamento;3;8.9;preferente;386;1×;2;1;1;1;55;2;0;2;0;0;0;0
8;468.0;190.0;74;-53.0;Apartamentos Reyes Católicos;Centro de Granada, Granada;100;apartamento;3;8.9;preferente;386;1×;1;1;1;1;60;3;2;0;0;0;1;0
8;481.0;157.0;5;-55.0;Apartamentos Reyes Católicos;Centro de Granada, Granada;100;apartamento;3;8.9;preferente;386;Apartamento Familiar;1;0;1;1;75;2;2;0;0;0;0;0
8;1828.0;230.0;166;1188.0;Apartamentos Royal Urban Granada;Centro de Granada, Granada;300;apartamento;3;6.3;preferente;268;2×;1;0;2;2;0;6;4;0;0;0;2;0
4;1310.0;282.0;14;1017.0;Apartamentos Royal Urban Granada;Centro de Granada, Granada;300;apartamento;3;6.3;preferente;268;Apartamento de 1 dormitorio;1;1;1;1;75;3;2;0;0;0;1;0
8;701.0;349.0;8;-61.0;Apartamentos Serrallo;Genil, Granada;2300;apartamento;4;8.9;;373;1×;1;1;2;1;36;1;0;0;1;0;0;0
8;742.0;177.0;12;-50.0;Apartamentos Turísticos Centro;Barrio de Ronda, Granada;700;apartamento;4;8.7;preferente;300;2×;2;0;2;2;0;6;2;0;2;0;2;0
4;334.0;230.0;89;131.0;Apartamentos Turísticos Centro;Barrio de Ronda, Granada;700;apartamento;4;8.7;preferente;298;Apartamento con terraza;1;1;1;1;40;2;0;0;1;0;1;0
8;610.0;201.0;184;28.0;Apartamentos Turísticos Centro;Barrio de Ronda, Granada;700;apartamento;4;8.7;preferente;298;1×;1;1;1;1;45;2;0;0;1;0;1;0
8;998.0;65.0;5;-96.0;Apartamentos Turísticos Centro;Barrio de Ronda, Granada;700;apartamento;4;8.7;preferente;300;1×;1;1;1;1;55;2;0;0;1;0;1;0
6;819.0;98.0;1;-110.0;Apartamentos Turísticos Las Nieves;Centro de Granada, Granada;500;hotel;3;8.7;preferente;165;2×;1;0;2;2;0;6;4;0;0;0;2;0
8;514.0;209.0;93;39.0;Apartamentos Turísticos Las Nieves;Centro de Granada, Granada;500;hotel;3;8.7;preferente;167;Estudio (2 adultos);0;0;1;1;24;1;0;1;0;0;0;0
8;411.0;142.0;128;72.0;Apartamentos Turísticos Las Nieves;Centro de Granada, Granada;500;hotel;3;8.7;preferente;167;Apartamento de 1 dormitorio;1;0;1;1;35;3;2;0;0;0;1;0
8;872.0;186.0;10;202.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;780;2×;2;0;4;2;0;10;8;0;0;0;2;0
8;566.0;136.0;49;185.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;780;1×;1;1;1;1;31;2;0;0;1;0;1;0
8;935.0;204.0;13;360.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;788;1×;1;1;1;1;42;2;0;0;1;0;1;0
4;377.0;63.0;1;161.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;780;Apartamento de 2 dormitorios con balcón;2;1;1;1;63;4;2;0;1;0;1;0
8;458.0;94.0;27;179.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;780;Apartamento de 2 dormitorios;2;1;2;1;67;4;2;0;1;0;1;0
4;435.0;88.0;13;206.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;780;Apartamento Dúplex de 2 dormitorios con terraza;2;1;2;1;71;5;4;0;0;0;1;0
8;648.0;59.0;75;143.0;Apartamentos Turísticos Mauror;Centro de Granada, Granada;350;hotel;2;9.4;plus;788;Apartamento Dúplex de 3 dormitorios;3;1;3;1;81;7;5;0;0;0;1;1
8;882.0;219.0;144;229.0;Apartamentos Turísticos San Matías;Centro de Granada, Granada;250;apartamento;4;9.1;preferente;503;2×;1;0;2;2;0;6;4;0;0;0;2;0
4;313.0;176.0;104;105.0;Apartamentos Turísticos San Matías;Centro de Granada, Granada;250;apartamento;4;9.1;preferente;503;Apartamento de 1 dormitorio;1;1;1;1;48;3;2;0;0;0;1;0
8;975.0;220.0;21;318.0;Apartamentos Turísticos San Matías;Centro de Granada, Granada;250;apartamento;4;9.1;preferente;503;Apartamento Superior de 1 dormitorio, con terraza;1;1;1;1;55;3;2;0;0;0;1;0
6;558.0;250.0;1;47.0;Apartamentos Turísticos Tronca Luxury;Genil, Granada;3400;apartamento;3;8.8;preferente;244;1×;2;1;1;1;25;2;0;1;0;0;1;0
8;436.0;261.0;196;-97.0;Apartamentos Turísticos Tronca Luxury;Genil, Granada;3400;apartamento;3;8.8;preferente;241;1×;2;1;1;1;30;3;2;1;0;0;0;0
8;1057.0;278.0;22;275.0;Apartamentos VITA CENTER;Centro de Granada, Granada;500;hotel;2;9.0;preferente;486;2×;0;0;2;2;0;2;0;0;0;2;0;0
8;545.0;162.0;126;106.0;Apartamentos VITA CENTER;Centro de Granada, Granada;500;hotel;2;9.0;preferente;486;1×;0;0;1;1;20;1;0;0;1;0;0;0
8;1001.0;291.0;47;153.0;Apartamentos VITA CENTER;Centro de Granada, Granada;500;hotel;2;9.0;preferente;486;1×;0;0;1;1;25;1;0;0;0;1;0;0
4;341.0;281.0;1;56.0;Apartamentos Vado - Arco de Elvira;Beiro, Granada;800;apartamento;3;8.5;;47;Apartamento;3;1;1;1;60;3;1;0;2;0;0;0
4;336.0;278.0;1;51.0;Apartamentos Vado - Cuesta de Alhacaba;Centro de Granada, Granada;800;apartamento;3;8.3;;32;Apartamento de 2 dormitorios;2;1;1;1;65;2;0;0;2;0;0;0
2;294.0;101.0;1;-248.0;Apartamentos Vado - San Matías alto;Centro de Granada, Granada;250;apartamento;3;8.2;;44;Apartamento de 1 dormitorio;1;1;1;1;52;2;0;1;0;0;1;0
2;157.0;227.0;32;-26.0;Apartamentos centro historico;Albaicín, Granada;800;apartamento;3;7.4;;40;Estudio;0;0;1;1;35;1;0;1;0;0;0;0
