Guests;Price avg;Ranking position avg;Number of views;Price difference;Hotel name;Location;Distance;Type;Quality;Rating;Special;Review;Description;Bedrooms;Living Rooms;Bathrooms;Kitchens;Surface Area (m2);Total Beds;Individual Beds;Double Beds;Double Large Beds;Double Extralarge Beds;Sofa Beds;Bunk Beds
8;451.0;130.0;373;-71.0;AMC Granada;Centro de Granada, Granada;200;apartamento;3;8.1;preferente;343;1×;0;0;0;0;0;3;2;1;0;0;0;0
4;391.0;69.0;3;-56.0;APARTAMENTO CENTRO NUEVA DE LA VIRGEN 2+free parking;Barrio de Ronda, Granada;700;apartamento;3;8.3;;102;Apartamento de 1 dormitorio;1;1;1;1;60;2;0;1;0;0;1;0
4;475.0;200.0;2;-53.0;APARTAMENTO EN CALLE RECOGIDAS;Barrio de Ronda, Granada;800;apartamento;3;8.0;;61;Apartamento de 2 dormitorios;2;0;0;0;0;2;0;2;0;0;0;0
6;274.0;70.0;106;5.0;APARTAMENTO GARDEN ART III;Centro de Granada, Granada;450;apartamento;4;9.4;;142;Apartamento;2;1;1;1;70;3;0;2;0;0;1;0
6;318.0;82.0;153;14.0;APARTAMENTO GARDEN ART IV;Centro de Granada, Granada;450;apartamento;3;9.5;;100;Apartamento;0;0;0;0;0;3;0;2;0;0;1;0
6;354.0;167.0;189;-68.0;APARTAMENTO GOR;Chana, Granada;3100;apartamento;3;8.8;;34;Apartamento de 3 dormitorios;3;0;1;1;90;5;4;1;0;0;0;0
6;251.0;113.0;31;-56.0;APARTAMENTO GRANADA CENTRO;Centro de Granada, Granada;600;apartamento;3;8.3;;73;Apartamento de 3 dormitorios;3;0;0;0;0;5;3;0;0;0;0;2
2;215.0;327.0;24;26.0;APARTAMENTO GRANADA CENTRO;Barrio de Ronda, Granada;700;apartamento;3;8.8;;22;Apartamento;1;1;1;1;49;2;0;1;0;0;1;0
4;185.0;78.0;1;-100.0;APARTAMENTO PERGAR I - 4 PERSONAS DESDE 35e-WIFI;Granada;5700;apartamento;3;8.5;;92;Apartamento - Planta baja;2;1;1;1;75;3;2;0;1;0;0;0
6;391.0;132.0;170;-49.0;APARTAMENTO POETA ZORRILLA;Genil, Granada;1100;apartamento;3;8.1;;76;Apartamento de 3 dormitorios;3;0;1;1;95;4;2;2;0;0;0;0
