cluster_kmeans,mean,median,min,max
0,0.6067939998321673,0.6534030133301654,0.0336565797302795,0.7254545896302065
1,0.6636336735964767,0.7244084738123945,0.09760608398896695,0.7585676062983877
2,0.6113564703754076,0.6481989068521202,0.13707526839964831,0.7138142546390849
3,0.5965734419440644,0.6482518016819144,0.052951005279225076,0.7190918554259852
4,0.443972374909834,0.4653174054384068,-0.027924424016354272,0.5921255481337266
