,renta_disp,renta_antes_trans_no_pensiones,renta_antes_todas_trans,renta_equiv,vacaciones,comida_calidad,gasto_imprevisto,fin_de_mes,exp_ingresos
cluster_0,0.08153404599669699,0.07706081337191378,0.09209394916936503,0.08153404599669699,0.0016053511705679258,0.0016722408026753899,0.9995317725752553,0.4022608695652171,0.45408026755852854
cluster_1,0.10600530019070345,0.10246128865450115,0.10890192837156759,0.10600530019070345,0.0002171428571464129,0.006857142857144234,0.00011428571429128453,0.6522971428571421,0.4720057142857142
cluster_2,0.0719594273304423,0.0659822256649949,0.08093930488447645,0.0719594273304423,0.9991248097412591,7.61035007601843e-05,0.9997336377473416,0.2568797564687986,0.46413622526636233
cluster_3,0.08273001219952064,0.0779456292617135,0.0861938371397475,0.08273001219952064,0.9992208804051417,0.030931047915855166,0.0013245033112602167,0.46214257888585897,0.5090767432800936
cluster_4,0.06778706153725006,0.061244059105752084,0.07816666000747996,0.06778706153725006,0.9047822983583149,0.9997144896502527,0.96431120628123,0.16491077801570309,0.5108493932905068
