feature,importance
Place_ID,26.111883095461618
L3_CO_CO_column_number_density,5.935223551812124
u_component_of_wind_10m_above_ground,3.665579505826486
v_component_of_wind_10m_above_ground,3.59659044199098
temperature_2m_above_ground,3.278252310180637
L3_AER_AI_sensor_altitude,3.2255298571305513
L3_NO2_NO2_slant_column_number_density,3.146059190030155
specific_humidity_2m_above_ground,2.310630880777063
relative_humidity_2m_above_ground,2.0461354794555233
L3_HCHO_tropospheric_HCHO_column_number_density,1.9207197923039634
L3_NO2_NO2_column_number_density,1.7484219743100888
L3_O3_O3_column_number_density,1.6278397727845613
precipitable_water_entire_atmosphere,1.461048141302936
dayofyear,1.45047562372234
L3_NO2_tropopause_pressure,1.3823519418298797
day,1.3701197977033617
L3_O3_O3_effective_temperature,1.3053709201050816
L3_CLOUD_cloud_optical_depth,1.2941794128597148
L3_CLOUD_surface_albedo,1.2395398793858838
doy_cos,1.2055268981597669
doy_sin,1.1854537839926875
L3_HCHO_tropospheric_HCHO_column_number_density_amf,1.1203798049702551
L3_CO_H2O_column_number_density,1.0796548654831566
L3_AER_AI_solar_zenith_angle,1.0641010929088615
L3_O3_solar_zenith_angle,1.0607820155461607
L3_AER_AI_absorbing_aerosol_index,1.0493067271336918
L3_NO2_sensor_altitude,1.048383027754566
month,1.026902554030686
weekofyear,0.9862140717303997
L3_CLOUD_solar_zenith_angle,0.9814197175447296
L3_CO_sensor_altitude,0.8841772863790188
L3_NO2_stratospheric_NO2_column_number_density,0.8226998143776312
L3_HCHO_HCHO_slant_column_number_density,0.8021503016550782
L3_HCHO_cloud_fraction,0.7515371178649437
L3_NO2_cloud_fraction,0.7484711712909548
L3_NO2_tropospheric_NO2_column_number_density,0.7473048965955528
L3_SO2_absorbing_aerosol_index,0.7297034612319451
L3_NO2_solar_zenith_angle,0.7112329263337633
L3_SO2_SO2_column_number_density_amf,0.699831186635548
dayofweek,0.6376401770246489
L3_CLOUD_cloud_base_height,0.6310418090205789
L3_CLOUD_cloud_top_pressure,0.6256069586191836
L3_CO_solar_zenith_angle,0.6248931628920824
L3_CO_cloud_height,0.6072316512608965
L3_NO2_absorbing_aerosol_index,0.5959227537182182
L3_O3_cloud_fraction,0.5453158495216657
L3_CLOUD_cloud_base_pressure,0.5369005196470139
L3_CLOUD_cloud_fraction,0.45356295407065333
L3_SO2_solar_zenith_angle,0.43680202708894067
L3_CLOUD_cloud_top_height,0.4103306909517457
L3_SO2_cloud_fraction,0.40291263945111483
L3_HCHO_solar_zenith_angle,0.39979035484991926
L3_CH4_sensor_zenith_angle,0.37685890270706873
L3_NO2_solar_azimuth_angle,0.37615107271407533
L3_SO2_sensor_zenith_angle,0.35553101687467714
L3_CH4_sensor_azimuth_angle,0.3235314574932331
L3_CH4_solar_zenith_angle,0.30855799211204643
L3_CO_sensor_zenith_angle,0.3035337163854597
L3_CO_solar_azimuth_angle,0.2905963998626546
L3_HCHO_sensor_zenith_angle,0.2894682364484744
L3_CO_sensor_azimuth_angle,0.28862269509001476
L3_NO2_sensor_zenith_angle,0.28652737755494706
L3_AER_AI_solar_azimuth_angle,0.2372671935078135
L3_AER_AI_sensor_zenith_angle,0.23460952659997822
L3_NO2_sensor_azimuth_angle,0.2270853292114971
L3_SO2_SO2_slant_column_number_density,0.22174502734221155
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,0.21495986201805192
L3_SO2_SO2_column_number_density,0.19078784325710066
L3_CLOUD_sensor_zenith_angle,0.15760527621619896
L3_CH4_aerosol_optical_depth,0.15637138194680994
L3_O3_solar_azimuth_angle,0.14676899888308798
L3_CH4_solar_azimuth_angle,0.13637591219276418
L3_O3_sensor_zenith_angle,0.13493582000006063
L3_CLOUD_sensor_azimuth_angle,0.12328606965330904
L3_AER_AI_sensor_azimuth_angle,0.1175485426172031
L3_O3_sensor_azimuth_angle,0.11619680735527586
L3_CH4_aerosol_height,0.111901998123053
L3_SO2_solar_azimuth_angle,0.11152531493217016
is_weekend,0.10246423998470075
L3_CLOUD_solar_azimuth_angle,0.10111604409679992
L3_HCHO_solar_azimuth_angle,0.0999967600879461
L3_HCHO_sensor_azimuth_angle,0.06507432594885865
L3_SO2_sensor_azimuth_angle,0.06386302007342201
year,0.0
