feature,importance
Place_ID,25.507997072359913
L3_CO_CO_column_number_density,5.941918446356785
v_component_of_wind_10m_above_ground,3.8143589581339974
u_component_of_wind_10m_above_ground,3.5283512640791224
L3_AER_AI_sensor_altitude,3.363259071772937
L3_NO2_NO2_slant_column_number_density,3.098478160975228
temperature_2m_above_ground,2.9093104852090748
relative_humidity_2m_above_ground,2.0772633194623857
L3_HCHO_tropospheric_HCHO_column_number_density,1.9932289431628138
L3_O3_O3_column_number_density,1.8887678359252273
L3_NO2_NO2_column_number_density,1.7993944638746597
specific_humidity_2m_above_ground,1.7858343224183848
precipitable_water_entire_atmosphere,1.6822173041584754
L3_CLOUD_surface_albedo,1.488829434216561
L3_HCHO_tropospheric_HCHO_column_number_density_amf,1.4800321059962498
L3_NO2_tropopause_pressure,1.4610696230350915
day,1.4017590654626193
doy_sin,1.384315404187747
dayofyear,1.2971461920395675
L3_CLOUD_cloud_optical_depth,1.181327960980124
L3_AER_AI_absorbing_aerosol_index,1.1403909264448784
L3_O3_O3_effective_temperature,1.1032942641269547
month,1.102984262190863
L3_AER_AI_solar_zenith_angle,1.0699956094455803
L3_CLOUD_solar_zenith_angle,1.069910126771853
L3_HCHO_HCHO_slant_column_number_density,1.0648778082304518
L3_NO2_stratospheric_NO2_column_number_density,1.0588658212544315
doy_cos,1.0471842958843998
L3_NO2_tropospheric_NO2_column_number_density,1.0424042919241683
L3_O3_solar_zenith_angle,0.9821276095568635
L3_CO_sensor_altitude,0.9755854798993309
L3_CO_H2O_column_number_density,0.8763526068636883
L3_SO2_absorbing_aerosol_index,0.8753978512311303
L3_NO2_sensor_altitude,0.835494874921762
L3_SO2_SO2_column_number_density_amf,0.7599590761748762
L3_NO2_solar_zenith_angle,0.7299046438103325
L3_NO2_cloud_fraction,0.6538293016069247
L3_CO_cloud_height,0.6533639940577551
L3_O3_cloud_fraction,0.6392334741397774
dayofweek,0.6266420327094451
L3_SO2_solar_zenith_angle,0.6233460124605456
L3_CO_solar_zenith_angle,0.62295490367489
weekofyear,0.6170801073165698
L3_CLOUD_cloud_fraction,0.5542405268033945
L3_CLOUD_cloud_top_pressure,0.5404071711742803
L3_CLOUD_cloud_base_pressure,0.5401481144303031
L3_NO2_absorbing_aerosol_index,0.5010115390595983
L3_HCHO_solar_zenith_angle,0.4953365856284604
L3_CLOUD_cloud_top_height,0.47717302363496217
L3_CLOUD_cloud_base_height,0.476448064634565
L3_HCHO_cloud_fraction,0.4428060931487186
L3_CO_solar_azimuth_angle,0.4405628507370943
L3_SO2_cloud_fraction,0.4129598760219283
L3_NO2_solar_azimuth_angle,0.37347453428082655
L3_SO2_sensor_zenith_angle,0.3671373798535462
L3_CO_sensor_zenith_angle,0.3343241216722249
L3_NO2_sensor_zenith_angle,0.3158646348564313
L3_NO2_sensor_azimuth_angle,0.27471260345548904
L3_SO2_SO2_slant_column_number_density,0.2665740173368736
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,0.2477084628836846
L3_SO2_SO2_column_number_density,0.2455984342755147
L3_AER_AI_solar_azimuth_angle,0.22546022726026654
L3_CO_sensor_azimuth_angle,0.21138367842879074
L3_CLOUD_solar_azimuth_angle,0.20673723644708136
L3_HCHO_sensor_zenith_angle,0.20006419469729153
L3_SO2_solar_azimuth_angle,0.19414589078518527
L3_CH4_sensor_azimuth_angle,0.18007342585432484
L3_CLOUD_sensor_zenith_angle,0.17834867439119403
L3_CH4_solar_zenith_angle,0.1776955754903694
L3_O3_solar_azimuth_angle,0.16844537111598254
L3_AER_AI_sensor_zenith_angle,0.16819390102794074
L3_HCHO_solar_azimuth_angle,0.16241466225099147
L3_O3_sensor_azimuth_angle,0.15995249120372948
L3_AER_AI_sensor_azimuth_angle,0.1527940477566566
L3_CH4_aerosol_optical_depth,0.14556588706161958
L3_CH4_solar_azimuth_angle,0.13467633200001772
L3_CH4_aerosol_height,0.13135686128901558
L3_SO2_sensor_azimuth_angle,0.12495586373400724
L3_O3_sensor_zenith_angle,0.11868510353647518
L3_CLOUD_sensor_azimuth_angle,0.11771570892209945
is_weekend,0.09828355014235761
L3_HCHO_sensor_azimuth_angle,0.09621833903121763
L3_CH4_sensor_zenith_angle,0.08430613518112906
year,0.0
