feature,importance_gain,importance_split
Place_ID,730159658.9501438,13086
L3_CO_CO_column_number_density,56508653.64184952,5683
dayofyear,53661974.731910706,6153
L3_NO2_NO2_slant_column_number_density,29493127.998535156,3989
v_component_of_wind_10m_above_ground,28839788.66096115,6969
u_component_of_wind_10m_above_ground,27415009.202947617,6390
L3_AER_AI_sensor_altitude,24725673.22226715,2583
L3_NO2_NO2_column_number_density,19992861.414541245,4295
temperature_2m_above_ground,19558994.952264786,4983
L3_HCHO_tropospheric_HCHO_column_number_density,19398353.851428986,3166
specific_humidity_2m_above_ground,14992664.949924469,4422
relative_humidity_2m_above_ground,13662489.97540474,5560
L3_HCHO_HCHO_slant_column_number_density,10648789.896900177,3284
L3_O3_O3_column_number_density,10451170.077472687,5041
L3_O3_O3_effective_temperature,10308557.156467438,4517
precipitable_water_entire_atmosphere,9974429.939062119,4159
L3_NO2_tropospheric_NO2_column_number_density,9355253.21333313,3553
L3_NO2_tropopause_pressure,9197694.48346901,3509
L3_CLOUD_surface_albedo,9061386.128477097,4676
L3_CLOUD_cloud_optical_depth,8812444.440601349,4548
L3_NO2_sensor_altitude,8662470.692300797,2196
L3_NO2_stratospheric_NO2_column_number_density,8563377.590120316,4240
L3_SO2_absorbing_aerosol_index,8388051.206361771,3757
day,7564255.3529548645,4932
L3_HCHO_tropospheric_HCHO_column_number_density_amf,7156379.632526398,3422
L3_CO_H2O_column_number_density,7148210.55015564,4131
doy_sin,7029782.045410156,937
L3_CO_sensor_altitude,6577782.266391754,2303
month,6174109.564727783,251
L3_AER_AI_absorbing_aerosol_index,6157567.323423386,3852
L3_CO_solar_zenith_angle,6060560.208555222,2248
L3_NO2_solar_zenith_angle,5385576.418029785,2019
L3_NO2_cloud_fraction,5133871.061408997,3292
L3_O3_solar_zenith_angle,5082357.134895325,1805
L3_SO2_SO2_column_number_density_amf,5066983.052684784,3285
L3_NO2_absorbing_aerosol_index,4552415.047948837,3327
L3_CO_cloud_height,4515997.319316864,4208
L3_CLOUD_cloud_base_height,4234380.120923996,2736
L3_HCHO_cloud_fraction,3736254.3329410553,2196
L3_HCHO_solar_zenith_angle,3671189.891040802,1648
L3_AER_AI_solar_zenith_angle,3633840.7984542847,855
dayofweek,3308585.5800151825,2468
L3_O3_cloud_fraction,3210682.8086662292,1998
L3_CLOUD_cloud_top_pressure,3206215.8946876526,1988
L3_SO2_cloud_fraction,3200566.17464447,1969
L3_SO2_solar_zenith_angle,3140262.997631073,1287
L3_CLOUD_cloud_fraction,3079946.9839496613,1455
L3_CLOUD_cloud_top_height,3033547.5101070404,2081
L3_CLOUD_cloud_base_pressure,3017130.963739395,2040
L3_SO2_SO2_column_number_density,2875570.6038970947,2984
L3_CO_sensor_azimuth_angle,2715923.7878837585,2588
L3_CLOUD_solar_zenith_angle,2573456.287322998,1241
L3_CO_solar_azimuth_angle,2541550.293794632,2433
L3_SO2_SO2_slant_column_number_density,2428077.043153763,2761
L3_CH4_aerosol_height,2329013.00315094,572
L3_NO2_solar_azimuth_angle,2288259.991580963,2149
L3_NO2_sensor_zenith_angle,2253383.7492103577,2136
L3_CO_sensor_zenith_angle,2134060.5977134705,2156
doy_cos,2078419.4093475342,176
L3_NO2_sensor_azimuth_angle,1930213.865404129,1790
L3_O3_solar_azimuth_angle,1856915.0052661896,1655
L3_HCHO_sensor_zenith_angle,1801098.3236026764,1538
L3_SO2_solar_azimuth_angle,1773110.466495514,1439
L3_HCHO_solar_azimuth_angle,1772466.0670089722,1588
L3_SO2_sensor_zenith_angle,1734064.4870109558,1328
L3_CH4_sensor_zenith_angle,1712248.3256702423,998
L3_CH4_aerosol_optical_depth,1637027.7488098145,552
L3_CH4_solar_azimuth_angle,1609807.250743866,447
L3_HCHO_sensor_azimuth_angle,1447114.0069637299,1275
L3_O3_sensor_zenith_angle,1412314.8031311035,1589
L3_AER_AI_solar_azimuth_angle,1372200.6310920715,1234
L3_O3_sensor_azimuth_angle,1332496.869644165,1382
L3_CLOUD_solar_azimuth_angle,1247559.3312683105,1033
L3_CH4_solar_zenith_angle,1213872.5594825745,392
L3_SO2_sensor_azimuth_angle,1011615.0555725098,1045
L3_AER_AI_sensor_zenith_angle,1007363.7776374817,982
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,983571.6535701752,547
L3_CLOUD_sensor_zenith_angle,870115.5751686096,965
weekofyear,673986.9496879578,184
L3_CLOUD_sensor_azimuth_angle,646935.5408744812,778
L3_CH4_sensor_azimuth_angle,585981.5231208801,369
L3_AER_AI_sensor_azimuth_angle,513765.9001350403,761
is_weekend,61643.7744140625,103
year,0.0,0
