feature,importance_gain,importance_split
Place_ID,735685968.6423378,13957
L3_CO_CO_column_number_density,57815946.42664528,6470
dayofyear,43992803.99837303,6750
v_component_of_wind_10m_above_ground,29523035.907984734,7943
u_component_of_wind_10m_above_ground,28668397.747055054,7151
L3_NO2_NO2_slant_column_number_density,28499098.44717121,4603
L3_AER_AI_sensor_altitude,24377231.040623665,2963
L3_HCHO_tropospheric_HCHO_column_number_density,18431378.467882156,3588
L3_NO2_NO2_column_number_density,17310789.602113724,5001
temperature_2m_above_ground,17297035.97522545,5214
month,15773900.227230072,264
specific_humidity_2m_above_ground,14946488.672655106,5180
relative_humidity_2m_above_ground,14605884.280639648,7421
L3_HCHO_HCHO_slant_column_number_density,14128152.04877472,3987
L3_O3_O3_column_number_density,11256729.999710083,5643
precipitable_water_entire_atmosphere,9818008.30124855,4628
L3_NO2_sensor_altitude,9544764.44078064,2474
L3_CLOUD_surface_albedo,9401444.77519703,5473
L3_CLOUD_cloud_optical_depth,8899606.237831116,5111
L3_NO2_tropospheric_NO2_column_number_density,8566391.904376984,4099
L3_HCHO_tropospheric_HCHO_column_number_density_amf,8534737.500013351,4166
L3_NO2_tropopause_pressure,8375707.287118912,3811
L3_SO2_absorbing_aerosol_index,8358218.379077911,4454
day,8106696.247406006,5636
L3_O3_O3_effective_temperature,8042872.193990707,5300
L3_CO_H2O_column_number_density,7820600.239534378,4704
L3_CO_sensor_altitude,7762248.190338135,2463
doy_sin,7648670.8324222565,1121
L3_AER_AI_absorbing_aerosol_index,7406672.187990189,4568
L3_NO2_stratospheric_NO2_column_number_density,7044340.082090378,4707
L3_SO2_SO2_column_number_density_amf,6395836.230239868,3989
L3_NO2_absorbing_aerosol_index,6101121.680570602,4021
L3_CO_solar_zenith_angle,5378054.53351593,2547
L3_NO2_solar_zenith_angle,5268042.894296646,2321
L3_CLOUD_cloud_base_height,4792599.480636597,3199
L3_NO2_cloud_fraction,4742169.653568268,3875
L3_CO_cloud_height,4737470.741602898,4838
L3_SO2_SO2_column_number_density,4226182.349378586,3430
L3_O3_solar_zenith_angle,3843442.990354538,1975
L3_CLOUD_cloud_top_pressure,3755198.5750818253,2306
L3_HCHO_solar_zenith_angle,3596375.1547603607,1858
L3_SO2_SO2_slant_column_number_density,3586117.252433777,3304
L3_HCHO_cloud_fraction,3575154.2411231995,2519
L3_CLOUD_cloud_base_pressure,3530350.3443698883,2506
L3_CO_sensor_azimuth_angle,3325203.5633563995,2921
L3_SO2_solar_zenith_angle,3212773.5302095413,1513
dayofweek,3181015.5218582153,2732
L3_NO2_sensor_azimuth_angle,3163957.3957481384,2245
L3_CLOUD_solar_zenith_angle,3105949.2908535004,1279
L3_O3_cloud_fraction,3072337.072248459,2356
L3_CLOUD_cloud_top_height,3056978.4694919586,2452
L3_CLOUD_cloud_fraction,2968062.719766617,1698
L3_AER_AI_solar_zenith_angle,2858265.6200590134,918
L3_CO_solar_azimuth_angle,2694599.911044121,2776
L3_SO2_cloud_fraction,2681028.0491867065,2088
L3_NO2_solar_azimuth_angle,2424486.699743271,2481
L3_SO2_solar_azimuth_angle,2399427.8204803467,1691
L3_CO_sensor_zenith_angle,2210450.6379356384,2524
L3_HCHO_solar_azimuth_angle,2144730.520406723,1833
doy_cos,2133888.3490982056,207
L3_NO2_sensor_zenith_angle,2086666.9434642792,2362
L3_SO2_sensor_zenith_angle,1919234.6516599655,1527
L3_HCHO_sensor_zenith_angle,1869050.3622074127,1808
L3_AER_AI_solar_azimuth_angle,1831672.822610855,1557
L3_O3_solar_azimuth_angle,1831020.066619873,1839
L3_HCHO_sensor_azimuth_angle,1471647.9746265411,1531
L3_O3_sensor_zenith_angle,1438548.197183609,1787
L3_O3_sensor_azimuth_angle,1333234.195672989,1696
L3_SO2_sensor_azimuth_angle,1270025.9696464539,1214
L3_CLOUD_solar_azimuth_angle,1116488.8222932816,1214
L3_CH4_aerosol_height,1086487.6389417648,630
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,1065160.6225090027,648
L3_CH4_sensor_zenith_angle,1056314.802471161,674
L3_CLOUD_sensor_azimuth_angle,959933.9010562897,1077
L3_CLOUD_sensor_zenith_angle,883850.9227619171,1121
L3_AER_AI_sensor_zenith_angle,871479.0091495514,992
weekofyear,732617.3501224518,226
L3_CH4_solar_zenith_angle,724831.7777824402,431
L3_CH4_aerosol_optical_depth,701489.2249555588,623
L3_CH4_solar_azimuth_angle,689357.4686088562,473
L3_CH4_sensor_azimuth_angle,604126.4982433319,495
L3_AER_AI_sensor_azimuth_angle,519030.19070625305,868
is_weekend,97024.19843292236,113
year,0.0,0
