feature,importance
Place_ID,26.23705945749609
L3_CO_CO_column_number_density,6.180140344812433
u_component_of_wind_10m_above_ground,3.5406100559014413
v_component_of_wind_10m_above_ground,3.519672512487188
temperature_2m_above_ground,3.404225228820556
L3_NO2_NO2_slant_column_number_density,3.1352831039298907
L3_AER_AI_sensor_altitude,2.8074536448964986
relative_humidity_2m_above_ground,2.124115150223084
L3_NO2_NO2_column_number_density,1.9425643267959019
specific_humidity_2m_above_ground,1.7779029460579634
L3_HCHO_tropospheric_HCHO_column_number_density,1.7506207598566348
L3_O3_O3_column_number_density,1.636429427727387
doy_sin,1.577095646870159
L3_CLOUD_cloud_optical_depth,1.4227605376211636
L3_HCHO_tropospheric_HCHO_column_number_density_amf,1.3797868011898093
day,1.3711311734524447
L3_NO2_tropopause_pressure,1.3657635979519926
L3_CLOUD_surface_albedo,1.322084187092632
L3_AER_AI_solar_zenith_angle,1.2831123751717504
L3_HCHO_HCHO_slant_column_number_density,1.2192717885701043
doy_cos,1.2081040237467842
dayofyear,1.2009710088232786
precipitable_water_entire_atmosphere,1.196352391864195
L3_NO2_sensor_altitude,1.1344702971074692
L3_O3_O3_effective_temperature,1.094807554490804
L3_AER_AI_absorbing_aerosol_index,1.065176117649331
L3_CO_H2O_column_number_density,1.0634301294197608
L3_NO2_solar_zenith_angle,1.01091536857498
L3_NO2_stratospheric_NO2_column_number_density,0.9916034187696005
L3_CLOUD_solar_zenith_angle,0.9405356192044335
weekofyear,0.9130994345439928
L3_O3_solar_zenith_angle,0.7912073981474976
L3_CLOUD_cloud_fraction,0.7868978019897033
L3_NO2_tropospheric_NO2_column_number_density,0.7748224963854445
L3_O3_cloud_fraction,0.7637180930967818
month,0.739367372424494
L3_SO2_SO2_column_number_density_amf,0.7353013271714698
L3_CO_sensor_altitude,0.727317216322572
L3_CO_cloud_height,0.6890298109491919
L3_SO2_absorbing_aerosol_index,0.64950201935161
L3_CLOUD_cloud_base_pressure,0.6272047710233384
L3_SO2_solar_zenith_angle,0.6267470820625897
L3_CO_solar_zenith_angle,0.6189833729729052
L3_NO2_cloud_fraction,0.6183374732558117
dayofweek,0.608739164212352
L3_HCHO_cloud_fraction,0.5894071233518285
L3_CLOUD_cloud_top_pressure,0.5244859810551535
L3_NO2_absorbing_aerosol_index,0.463819404889794
L3_NO2_solar_azimuth_angle,0.44312372680127043
L3_SO2_cloud_fraction,0.4418085318109529
L3_CLOUD_cloud_base_height,0.4222777852494996
L3_HCHO_solar_zenith_angle,0.383307340768291
L3_CO_sensor_azimuth_angle,0.3728343196290818
L3_CH4_sensor_zenith_angle,0.3426227045644819
L3_NO2_sensor_zenith_angle,0.3387702198736625
L3_AER_AI_solar_azimuth_angle,0.32578955719206737
L3_CO_sensor_zenith_angle,0.30283364878016117
L3_CLOUD_cloud_top_height,0.28329474563294654
L3_SO2_SO2_column_number_density,0.28123596117539906
L3_NO2_sensor_azimuth_angle,0.2626606709226292
L3_SO2_solar_azimuth_angle,0.25322896767580416
L3_HCHO_solar_azimuth_angle,0.24959715630614068
L3_CO_solar_azimuth_angle,0.2440667882408464
L3_CH4_solar_zenith_angle,0.24066140006234235
L3_CLOUD_solar_azimuth_angle,0.2037162140315584
L3_CH4_solar_azimuth_angle,0.19763146701802958
L3_SO2_sensor_zenith_angle,0.18943873668191993
L3_O3_solar_azimuth_angle,0.18943023115262206
L3_O3_sensor_zenith_angle,0.18706738585308627
L3_HCHO_sensor_zenith_angle,0.18056513622061168
L3_CH4_sensor_azimuth_angle,0.17271039764970716
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,0.17130329532121033
L3_CLOUD_sensor_zenith_angle,0.16870872038932835
L3_SO2_SO2_slant_column_number_density,0.16360975010470086
L3_AER_AI_sensor_zenith_angle,0.15658765366581337
L3_AER_AI_sensor_azimuth_angle,0.11836942409498137
is_weekend,0.11666762511861341
L3_O3_sensor_azimuth_angle,0.09419544462375218
L3_CH4_aerosol_optical_depth,0.07992142345074409
L3_SO2_sensor_azimuth_angle,0.07485850006756006
L3_HCHO_sensor_azimuth_angle,0.07198314272982788
L3_CLOUD_sensor_azimuth_angle,0.06582198713578342
L3_CH4_aerosol_height,0.05786360022226759
year,0.0
