feature,importance_gain,importance_split
Place_ID,726429570.2476883,9589
L3_CO_CO_column_number_density,60723641.6423645,3995
dayofyear,52359497.689582825,4590
L3_NO2_NO2_slant_column_number_density,32022373.222114563,2956
u_component_of_wind_10m_above_ground,27913079.803901672,4341
v_component_of_wind_10m_above_ground,25807667.669273376,5044
L3_AER_AI_sensor_altitude,23595152.676475525,1776
L3_NO2_NO2_column_number_density,20549093.8493042,2952
L3_HCHO_tropospheric_HCHO_column_number_density,17458363.081604004,1974
temperature_2m_above_ground,15656202.494659424,3522
specific_humidity_2m_above_ground,14678252.016433716,3158
relative_humidity_2m_above_ground,11877200.440788269,3872
L3_O3_O3_column_number_density,11046526.699119568,3383
L3_HCHO_HCHO_slant_column_number_density,10613378.235481262,2149
L3_NO2_tropopause_pressure,9576490.892120361,2488
L3_CLOUD_surface_albedo,9437904.505683899,3209
precipitable_water_entire_atmosphere,8793070.857017517,2624
L3_CLOUD_cloud_optical_depth,8780131.33720398,2992
L3_O3_O3_effective_temperature,8614915.778945923,2882
L3_CO_H2O_column_number_density,8304041.822547913,3020
doy_sin,8091540.254875183,642
L3_NO2_sensor_altitude,7982658.856414795,1522
L3_CO_sensor_altitude,7287194.636672974,1500
L3_NO2_tropospheric_NO2_column_number_density,7175279.504318237,2285
day,7147602.022644043,3337
L3_HCHO_tropospheric_HCHO_column_number_density_amf,7106030.148155212,2214
L3_NO2_stratospheric_NO2_column_number_density,7025431.746986389,2873
L3_AER_AI_absorbing_aerosol_index,7018793.055404663,2506
L3_SO2_absorbing_aerosol_index,6729395.4981918335,2442
L3_CO_solar_zenith_angle,6645752.989692688,1595
month,6049871.785232544,154
L3_NO2_absorbing_aerosol_index,5305136.217407227,2192
L3_NO2_solar_zenith_angle,5304167.713272095,1431
L3_NO2_cloud_fraction,5174141.454605103,2147
L3_HCHO_solar_azimuth_angle,4511685.818527222,1124
L3_O3_solar_zenith_angle,4455234.758666992,1203
L3_HCHO_cloud_fraction,4053614.4381256104,1475
L3_CLOUD_cloud_base_height,3938523.6616973877,1736
L3_SO2_SO2_column_number_density_amf,3904299.2772598267,2054
L3_CO_cloud_height,3903649.5425872803,2464
L3_SO2_solar_zenith_angle,3836488.4043884277,935
L3_CO_sensor_azimuth_angle,3631137.985420227,1439
L3_CLOUD_cloud_top_pressure,3494512.321182251,1312
L3_SO2_cloud_fraction,3438416.9053344727,1204
L3_AER_AI_solar_zenith_angle,3342235.8728408813,632
L3_NO2_solar_azimuth_angle,3292144.938179016,1420
L3_CLOUD_cloud_top_height,3190971.928009033,1327
L3_HCHO_solar_zenith_angle,3133708.317314148,1192
L3_CLOUD_cloud_base_pressure,2991412.1945495605,1374
dayofweek,2838616.2149734497,1564
L3_CLOUD_solar_zenith_angle,2811181.7757110596,888
L3_CLOUD_cloud_fraction,2769959.391593933,1008
L3_O3_cloud_fraction,2627152.361984253,1247
L3_SO2_solar_azimuth_angle,2405238.9337921143,924
L3_SO2_SO2_column_number_density,2356371.052757263,1692
L3_CO_solar_azimuth_angle,2315464.916534424,1373
L3_SO2_SO2_slant_column_number_density,2298493.0413360596,1717
L3_CO_sensor_zenith_angle,2231848.405441284,1298
doy_cos,2104448.0052948,112
L3_NO2_sensor_zenith_angle,2046797.4501953125,1356
L3_CH4_sensor_zenith_angle,1963915.018371582,644
L3_NO2_sensor_azimuth_angle,1912044.3823013306,1126
L3_O3_solar_azimuth_angle,1746931.0103912354,1023
L3_HCHO_sensor_zenith_angle,1716778.5785446167,910
L3_HCHO_sensor_azimuth_angle,1552156.5077209473,815
L3_SO2_sensor_zenith_angle,1494502.125076294,812
L3_O3_sensor_zenith_angle,1234288.5577545166,913
L3_CH4_solar_azimuth_angle,1222767.0117645264,311
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,1219828.6337127686,307
L3_O3_sensor_azimuth_angle,1091060.3226165771,798
L3_SO2_sensor_azimuth_angle,1073623.8262176514,635
L3_AER_AI_solar_azimuth_angle,1069680.7414550781,737
L3_CLOUD_solar_azimuth_angle,1018204.8468322754,637
L3_CH4_solar_zenith_angle,959997.1130218506,275
L3_CLOUD_sensor_zenith_angle,922533.3535385132,560
L3_CH4_aerosol_height,906696.3607330322,333
L3_CH4_aerosol_optical_depth,700807.8934326172,280
L3_AER_AI_sensor_zenith_angle,622078.4805603027,503
L3_CLOUD_sensor_azimuth_angle,482800.6103134155,451
L3_AER_AI_sensor_azimuth_angle,456462.68312072754,410
weekofyear,410490.29403686523,111
L3_CH4_sensor_azimuth_angle,397857.4378967285,211
is_weekend,65913.0393371582,44
year,0.0,0
