feature,importance
Place_ID,26.389413933596547
L3_CO_CO_column_number_density,6.1872769907098535
u_component_of_wind_10m_above_ground,3.835510317007862
v_component_of_wind_10m_above_ground,3.6685422284396454
L3_AER_AI_sensor_altitude,3.108124458888973
temperature_2m_above_ground,2.9811677461265953
L3_NO2_NO2_slant_column_number_density,2.9229418120983692
specific_humidity_2m_above_ground,2.122368826566996
L3_NO2_NO2_column_number_density,1.9642480388362378
relative_humidity_2m_above_ground,1.9165338291908103
L3_O3_O3_column_number_density,1.8852010521033324
L3_NO2_tropopause_pressure,1.6773031833160492
L3_HCHO_tropospheric_HCHO_column_number_density,1.6764464849921041
day,1.5812840756961226
precipitable_water_entire_atmosphere,1.529140051641187
dayofyear,1.4656793201810125
doy_cos,1.3620280402081526
L3_HCHO_tropospheric_HCHO_column_number_density_amf,1.3269115380459668
L3_CLOUD_surface_albedo,1.3207254748686683
doy_sin,1.260314444525459
L3_O3_O3_effective_temperature,1.2312122332815252
L3_NO2_sensor_altitude,1.2077293290347015
L3_CLOUD_cloud_optical_depth,1.1828444295405898
L3_AER_AI_absorbing_aerosol_index,1.059247268829753
L3_CLOUD_solar_zenith_angle,1.0267165190482874
L3_AER_AI_solar_zenith_angle,1.0244257793968146
L3_CO_H2O_column_number_density,1.0013214855669246
L3_NO2_stratospheric_NO2_column_number_density,0.9328214193382319
L3_CO_sensor_altitude,0.9275877884706477
month,0.9020619450516325
L3_O3_solar_zenith_angle,0.8798174095631064
L3_SO2_SO2_column_number_density_amf,0.8558641344574881
L3_HCHO_HCHO_slant_column_number_density,0.7917977197015655
L3_SO2_absorbing_aerosol_index,0.7321698188451575
L3_NO2_solar_zenith_angle,0.7200296217539021
weekofyear,0.7119911479704588
L3_CLOUD_cloud_fraction,0.67300539772802
L3_NO2_tropospheric_NO2_column_number_density,0.6388744136084826
L3_CLOUD_cloud_base_pressure,0.6242987849060877
L3_CO_cloud_height,0.6221691872654995
L3_HCHO_cloud_fraction,0.5972235768097742
L3_NO2_absorbing_aerosol_index,0.5946949295559967
L3_NO2_cloud_fraction,0.5533720211358069
L3_CO_solar_zenith_angle,0.5309022417492045
L3_O3_cloud_fraction,0.5305555239904535
dayofweek,0.5280693504210314
L3_CLOUD_cloud_top_pressure,0.5260847903367645
L3_SO2_solar_zenith_angle,0.42822397930735323
L3_HCHO_solar_zenith_angle,0.4262851744972895
L3_CLOUD_cloud_base_height,0.36977986054816714
L3_SO2_cloud_fraction,0.36634261120330613
L3_CH4_sensor_zenith_angle,0.35653201078966507
L3_NO2_solar_azimuth_angle,0.35247636695167966
L3_CLOUD_cloud_top_height,0.33220488812369825
L3_SO2_sensor_zenith_angle,0.3123116947298486
L3_CH4_sensor_azimuth_angle,0.3112066260018654
L3_CO_sensor_zenith_angle,0.2953558829600448
L3_CO_sensor_azimuth_angle,0.29477107624845317
L3_SO2_SO2_slant_column_number_density,0.2560177784654956
L3_CO_solar_azimuth_angle,0.25576486423923883
L3_AER_AI_solar_azimuth_angle,0.25501417867736964
L3_NO2_sensor_zenith_angle,0.25457270689000683
L3_O3_sensor_zenith_angle,0.23923263444383755
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,0.22168954852172987
L3_AER_AI_sensor_zenith_angle,0.22127368879732603
L3_SO2_SO2_column_number_density,0.2174249179423701
L3_NO2_sensor_azimuth_angle,0.21565616976443355
L3_HCHO_solar_azimuth_angle,0.20896586785398458
L3_CH4_solar_zenith_angle,0.20745976939116184
L3_O3_solar_azimuth_angle,0.19664121193213463
L3_SO2_solar_azimuth_angle,0.1935291321798973
L3_CH4_solar_azimuth_angle,0.17735111424878922
L3_CH4_aerosol_height,0.16438851975949204
L3_HCHO_sensor_zenith_angle,0.15149827899940463
L3_CLOUD_sensor_zenith_angle,0.14962652070746277
L3_AER_AI_sensor_azimuth_angle,0.12269636280108392
L3_O3_sensor_azimuth_angle,0.10919308994358098
L3_SO2_sensor_azimuth_angle,0.10746756504273842
L3_CH4_aerosol_optical_depth,0.10494201439582601
L3_CLOUD_solar_azimuth_angle,0.09088663909061806
is_weekend,0.08512394413670035
L3_CLOUD_sensor_azimuth_angle,0.0808106146667559
L3_HCHO_sensor_azimuth_angle,0.07923258134934577
year,0.0
