feature,importance_gain,importance_split
Place_ID,741464417.6665437,19519
L3_CO_CO_column_number_density,63343556.65280938,9541
dayofyear,56609006.54694986,9698
L3_NO2_NO2_slant_column_number_density,29256041.88025713,7535
u_component_of_wind_10m_above_ground,29110176.47195077,11638
v_component_of_wind_10m_above_ground,28731012.024445295,12563
L3_AER_AI_sensor_altitude,25234400.73217225,4508
L3_NO2_NO2_column_number_density,22052023.014622927,7887
temperature_2m_above_ground,19798057.645772934,8559
specific_humidity_2m_above_ground,19267369.835232735,8145
L3_HCHO_tropospheric_HCHO_column_number_density,18100666.363620043,5690
relative_humidity_2m_above_ground,13308832.959707975,11605
L3_CLOUD_surface_albedo,12648877.127970695,9503
L3_O3_O3_column_number_density,11565868.585436344,9097
L3_CLOUD_cloud_optical_depth,9797038.53991294,8594
L3_HCHO_HCHO_slant_column_number_density,9689471.647181988,6283
L3_NO2_sensor_altitude,9594664.18579793,3732
L3_O3_O3_effective_temperature,9274070.9089849,8639
doy_sin,9218486.783414364,1710
L3_NO2_tropopause_pressure,9217031.895510197,6437
L3_CO_H2O_column_number_density,9031656.688679218,7900
L3_NO2_tropospheric_NO2_column_number_density,8937435.337232113,6410
day,8903828.77883625,8736
precipitable_water_entire_atmosphere,8631112.63077259,8246
L3_SO2_absorbing_aerosol_index,8626861.560943604,7526
L3_HCHO_tropospheric_HCHO_column_number_density_amf,7847009.042246342,6456
L3_CO_sensor_altitude,7749013.655587435,3952
L3_CO_solar_zenith_angle,7261486.342580318,4077
L3_NO2_stratospheric_NO2_column_number_density,7110338.696512938,7578
L3_AER_AI_absorbing_aerosol_index,6834980.9317474365,7702
L3_NO2_solar_zenith_angle,6072920.451080322,3741
L3_NO2_absorbing_aerosol_index,5483564.126273155,6366
L3_CLOUD_cloud_base_height,5414051.047213078,5684
L3_SO2_SO2_column_number_density_amf,5353700.992433786,6507
L3_NO2_cloud_fraction,5348092.98095727,6308
L3_O3_solar_zenith_angle,5299054.767457485,3179
month,4719218.16986227,359
L3_CO_cloud_height,4694926.110667944,8354
L3_CLOUD_cloud_top_pressure,4433297.5212183,4197
L3_CO_sensor_azimuth_angle,4421981.241221428,4780
L3_HCHO_cloud_fraction,4177246.58040905,4208
L3_SO2_cloud_fraction,3948929.119746208,3641
L3_SO2_SO2_column_number_density,3854769.6033973694,5580
L3_SO2_SO2_slant_column_number_density,3847322.065344095,5920
L3_AER_AI_solar_zenith_angle,3552704.072291374,1422
L3_CLOUD_cloud_base_pressure,3548002.216595888,4231
L3_CO_solar_azimuth_angle,3543326.654522419,4608
L3_HCHO_solar_zenith_angle,3502495.1859788895,2752
L3_CLOUD_cloud_fraction,3364776.9462866783,3165
L3_CLOUD_cloud_top_height,3269189.7456889153,4239
L3_NO2_solar_azimuth_angle,3102554.8833708763,4387
doy_cos,3061291.6758065224,318
L3_O3_cloud_fraction,2954759.846818924,4112
L3_SO2_solar_zenith_angle,2889613.432248831,2475
L3_HCHO_solar_azimuth_angle,2880065.7454543114,3269
dayofweek,2811195.098315239,4687
L3_CLOUD_solar_zenith_angle,2653927.1645276546,2158
L3_CO_sensor_zenith_angle,2382830.052083969,4205
L3_CH4_aerosol_height,2204237.199187517,1044
L3_NO2_sensor_zenith_angle,2191438.1657526493,4139
L3_HCHO_sensor_zenith_angle,2024313.3029766083,2989
L3_O3_solar_azimuth_angle,1995792.8461408615,3355
L3_NO2_sensor_azimuth_angle,1968152.2376317978,3784
L3_SO2_solar_azimuth_angle,1945662.054018259,2528
L3_CH4_sensor_zenith_angle,1701533.646765709,2029
L3_AER_AI_solar_azimuth_angle,1638255.8225991726,2480
L3_SO2_sensor_zenith_angle,1564384.5700461864,2556
L3_SO2_sensor_azimuth_angle,1514513.4134833813,2217
L3_O3_sensor_zenith_angle,1500492.9423632622,3321
L3_HCHO_sensor_azimuth_angle,1442286.1615674496,2574
L3_CLOUD_solar_azimuth_angle,1400074.8573367596,2293
L3_O3_sensor_azimuth_angle,1310630.4699163437,3151
L3_CH4_solar_azimuth_angle,1169666.705942154,711
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,1131449.2164580822,977
L3_CH4_solar_zenith_angle,1015339.6389443874,622
L3_AER_AI_sensor_zenith_angle,889221.0960655212,1918
L3_CLOUD_sensor_zenith_angle,818193.5089430809,1943
L3_CH4_sensor_azimuth_angle,756736.6743083,743
L3_CH4_aerosol_optical_depth,686838.151047945,820
L3_CLOUD_sensor_azimuth_angle,683581.8473944664,1812
L3_AER_AI_sensor_azimuth_angle,563099.279045105,1772
weekofyear,461333.5102725029,357
is_weekend,69471.19706916809,169
year,0.0,0
